#,Ticket text,True category,Predicted category,Reasoning,Pass / Fail,Annotation,,,,,,,,,,,,,,,,,,,
EX,"My laptop arrived damaged and I want a full refund, not a replacement.",refund_request,product_issue,Customer mentions the laptop is damaged → product_issue regardless of remedy (refund).,Fail,Wrong category. Model anchored on 'damaged' and ignored 'refund'.,,,,,,,,,,,,,,,,,,,
t000,"Hi, I ordered a blender 5 days ago and the tracking page hasn't updated. Can you tell me where it is?",order_status,order_status,Customer is asking about the status and tracking of an order that hasn't shipped.,Pass,,,,,,,,,,,,,,,,,,,,
t001,"Hey, placed an order for a blender 5 days back and the tracking still shows nothing. Where is it?",order_status,order_status,Customer wants tracking info on a 5-day-old order — classic order_status request.,Pass,,,,,,,,,,,,,,,,,,,,
t002,"So I ordered a blender on Monday, supposedly it shipped, but the tracking page is dead. What's going on?",order_status,order_status,Customer is inquiring about a broken tracking link and the location of their order.,Pass,,,,,,,,,,,,,,,,,,,,
t003,My package was supposed to arrive yesterday but it's still not here. Order #44812.,order_status,order_status,Customer is asking about a delayed delivery for a specific order — order_status.,Pass,,,,,,,,,,,,,,,,,,,,
t004,Order #44812 was due yesterday and hasn't shown up. Any update?,order_status,order_status,Customer is asking for a delivery update on a specific order.,Pass,,,,,,,,,,,,,,,,,,,,
t005,Where's my package? Was supposed to arrive yesterday — order #44812 if that helps.,order_status,order_status,Customer wants the delivery status of a specific package.,Pass,,,,,,,,,,,,,,,,,,,,
t006,Tracking link in the email just spins forever. Order #88421.,order_status,order_status,Customer has a broken tracking link — they're trying to check on their order.,Pass,,,,,,,,,,,,,,,,,,,,
t007,"Hey, the tracking link you emailed me for order 88421 doesn't load — just keeps spinning. Help?",order_status,order_status,Customer's tracking URL is broken; they want to know where their order is.,Pass,,,,,,,,,,,,,,,,,,,,
t008,Tracking URL is broken. Order 88421. Can you tell me where the package is?,order_status,order_status,Customer is asking for an alternative way to track their order.,Pass,,,,,,,,,,,,,,,,,,,,
t009,"Order shows delivered last Tuesday but it's not at my door, my neighbor's, or the mailroom. What now?",order_status,order_status,Customer's order is marked delivered but they didn't receive it — order_status investigation.,Pass,,,,,,,,,,,,,,,,,,,,
t010,My order is marked delivered as of last Tuesday but it's nowhere to be found. Help.,order_status,order_status,Customer says the delivery marker doesn't match reality.,Pass,,,,,,,,,,,,,,,,,,,,
t011,"Says delivered Tuesday — checked the porch, the neighbors, the mailroom. Nothing. What do I do?",order_status,order_status,Customer needs help locating a package that the carrier claims was delivered.,Pass,,,,,,,,,,,,,,,,,,,,
t012,I never received my order and I want my money back.,refund_request,order_status,"Customer is asking for their money back, which suggests a refund request.",Fail,wrong category. model anchored on did not recieve the order and ignore the clearly stated refuld request ,,,,,,,,,,,,,,,,,,,
t013,I haven't received my order yet — please refund me.,refund_request,order_status,Customer explicitly requesting a refund.,Fail,wrong category. model anchored on did not recieve the order and ignore the clearly stated refuld request ,,,,,,,,,,,,,,,,,,,
t014,Still no package. I want a refund.,refund_request,order_status,Customer wants their money back — sounds like a refund request.,Fail,wrong category. model anchored on did not recieve the order and ignore the clearly stated refuld request ,,,,,,,,,,,,,,,,,,,
t015,Order shows delivered but I never got it. Refund please.,refund_request,order_status,Customer is requesting a refund for a missing package.,Fail,wrong category. model focused on incorrect delivery status but ignore the refund request ,,,,,,,,,,,,,,,,,,,
t016,Package says delivered but I don't have it. I'd like a refund.,refund_request,order_status,Customer is requesting their money back for a missing order.,Fail,wrong category. model focused on incorrect delivery status but ignore the refund request ,,,,,,,,,,,,,,,,,,,
t017,"Marked as delivered, I never got it. Just refund me at this point.",refund_request,order_status,Customer wants a refund — money-back request.,Fail,wrong category. model focused on incorrect delivery status but ignore the refund request ,,,,,,,,,,,,,,,,,,,
t018,The website said 2-day shipping. It's been 9 days. Are you kidding me?,order_status,order_status,Customer is complaining about a delayed shipment — order_status concern.,Pass,,,,,,,,,,,,,,,,,,,,
t019,Promised 2-day delivery. Day nine. This is a joke.,order_status,order_status,Customer is upset about delivery delays.,Pass,,,,,,,,,,,,,,,,,,,,
t020,You advertised 2-day shipping. Where is my order? It's been more than a week.,order_status,order_status,Customer is questioning the status of a delayed shipment.,Pass,,,,,,,,,,,,,,,,,,,,
t021,My item has been stuck in customs for 3 weeks. What can you do?,order_status,order_status,Customer is asking about delivery status — item stuck in customs.,Pass,,,,,,,,,,,,,,,,,,,,
t022,Customs has been holding my order for three weeks. Any way to speed this up?,order_status,order_status,Customer wants help with a stalled international shipment.,Pass,,,,,,,,,,,,,,,,,,,,
t023,It's been 21 days in customs. I need an update on when this will arrive.,order_status,order_status,Customer asking for an ETA on a customs-delayed order.,Pass,,,,,,,,,,,,,,,,,,,,
t024,The carrier marked it delivered but it shows the wrong delivery address.,order_status,account_help,Customer mentions a wrong shipping address — sounds like an account/address issue.,Fail,wrong category. model ignored the the current order status and focused on help required,,,,,,,,,,,,,,,,,,,
t025,Carrier delivered to the wrong address. The address on the label is not mine.,order_status,account_help,Customer says the shipping address is incorrect — account_help concern.,Fail,wrong category. model ignored the the current order status and focused on help required,,,,,,,,,,,,,,,,,,,
t026,Order was sent to an address I don't recognize and now it's gone. What happened?,order_status,order_status,Customer is trying to locate a package sent to a wrong address.,Pass,,,,,,,,,,,,,,,,,,,,
t027,Where exactly is order #50221? I need it for my wedding tomorrow.,order_status,order_status,Customer needs an urgent delivery update — order_status.,Pass,,,,,,,,,,,,,,,,,,,,
t028,Order #50221 is for my wedding tomorrow. Where is it??,order_status,order_status,Customer needs an urgent ETA on a specific order.,Pass,,,,,,,,,,,,,,,,,,,,
t029,Wedding is tomorrow and order 50221 still hasn't arrived. Please help.,order_status,order_status,Time-sensitive delivery inquiry — order_status.,Pass,,,,,,,,,,,,,,,,,,,,
t030,I'd like to return the headphones I bought last week and get my money back. They're unopened.,refund_request,refund_request,Customer wants to return an unopened item for a refund — refund_request.,Pass,,,,,,,,,,,,,,,,,,,,
t031,Need to return these unopened headphones — refund please.,refund_request,refund_request,Customer wants a refund for an unopened product.,Pass,,,,,,,,,,,,,,,,,,,,
t032,"Hey, the headphones I bought last week are still sealed — can I return them for my money back?",refund_request,refund_request,Customer requesting a refund on an unopened return.,Pass,,,,,,,,,,,,,,,,,,,,
t033,Please cancel order 99021 and refund my card. I no longer need it.,refund_request,refund_request,Customer asking to cancel and get a refund — refund_request.,Pass,,,,,,,,,,,,,,,,,,,,
t034,Cancel order 99021 and refund the charge — I changed my mind.,refund_request,refund_request,Customer requesting cancellation and refund.,Pass,,,,,,,,,,,,,,,,,,,,
t035,Please void order 99021 and put the money back on my card.,refund_request,refund_request,Customer wants the order voided and refunded.,Pass,,,,,,,,,,,,,,,,,,,,
t036,Where is my refund? I returned the item two weeks ago and still nothing on my card.,refund_request,refund_request,Customer is following up on a refund they're owed — refund_request.,Pass,,,,,,,,,,,,,,,,,,,,
t037,"Returned the item two weeks ago, no refund yet — where is it?",refund_request,refund_request,Customer is asking about the status of their refund.,Pass,,,,,,,,,,,,,,,,,,,,
t038,I sent the product back 14 days ago. My card still hasn't been credited. What's the holdup?,refund_request,refund_request,Customer is following up on an outstanding refund.,Pass,,,,,,,,,,,,,,,,,,,,
t039,I was charged $89 but the website showed $79 at checkout. Please refund the difference.,refund_request,refund_request,Customer wants a partial refund for an overcharge — refund_request.,Pass,,,,,,,,,,,,,,,,,,,,
t040,"Charged $89, but the site listed $79. Please refund the $10 difference.",refund_request,refund_request,Customer is asking for a refund on the price discrepancy.,Pass,,,,,,,,,,,,,,,,,,,,
t041,You overcharged me by $10. Please credit the difference back to my card.,refund_request,refund_request,Customer requesting a refund for an overcharge.,Pass,,,,,,,,,,,,,,,,,,,,
t042,Returning these for store credit is fine but honestly I'd prefer cash back to my original card.,refund_request,refund_request,Customer is requesting a refund to their original card instead of store credit.,Pass,,,,,,,,,,,,,,,,,,,,
t043,"Returning these — and please refund to my card, not store credit.",refund_request,refund_request,Customer wants a cash refund rather than store credit.,Pass,,,,,,,,,,,,,,,,,,,,
t044,Happy to return these but I'd rather get a real refund than store credit.,refund_request,refund_request,Customer is asking for a card refund instead of store credit.,Pass,,,,,,,,,,,,,,,,,,,,
t045,I was double-charged on the same order. Please refund the duplicate transaction.,refund_request,refund_request,Customer was charged twice — wants a refund for the duplicate.,Pass,,,,,,,,,,,,,,,,,,,,
t046,There are two charges on my card for the same order. Please refund one.,refund_request,refund_request,Customer needs a duplicate-charge refund.,Pass,,,,,,,,,,,,,,,,,,,,
t047,Card was hit twice for one order — please reverse the duplicate.,refund_request,refund_request,Customer wants the duplicate charge refunded.,Pass,,,,,,,,,,,,,,,,,,,,
t048,The price dropped two days after I bought it. Can I get the difference back?,refund_request,other,Customer is asking about a general policy on price drops — informational.,Fail,wrong category. Model focused on price drop informatin and ingored the partial refund request,,,,,,,,,,,,,,,,,,,
t049,Saw the same item dropped in price right after I bought it. Any way to get the difference?,refund_request,other,Customer is asking about a price-match policy.,Fail,wrong category. Model focused on price drop informatin and ingored the partial refund request,,,,,,,,,,,,,,,,,,,
t050,Item went on sale right after I ordered. Do you do price adjustments?,refund_request,other,Customer is asking about a general price-adjustment policy.,Fail,wrong category. Model focused on price drop informatin and ingored the partial refund request,,,,,,,,,,,,,,,,,,,
t051,Cancel my subscription and refund this month's charge — I never used it.,refund_request,account_help,Customer wants to cancel their subscription — account-level change.,Fail,wrong category. model focused on providing help for cancellation request and ingore the refund that customer is asking ,,,,,,,,,,,,,,,,,,,
t052,Please cancel my subscription and refund this month — I haven't used the service.,refund_request,account_help,Customer is asking to cancel a subscription on their account.,Fail,wrong category. model focused on providing help for cancellation request and ingore the refund that customer is asking ,,,,,,,,,,,,,,,,,,,
t053,"Subscription cancel + refund of this month, please. I haven't used it once.",refund_request,account_help,"Customer wants subscription cancellation, which is an account action.",Fail,wrong category. model focused on providing help for cancellation request and ingore the refund that customer is asking ,,,,,,,,,,,,,,,,,,,
t054,Your return window says 30 days. I missed it by 2 days. Refund anyway?,refund_request,refund_request,Customer is asking for a refund outside the return window.,Pass,,,,,,,,,,,,,,,,,,,,
t055,I'm just past the 30-day return window — would you still take it back for a refund?,refund_request,refund_request,Customer is asking for an exception on a late refund.,Pass,,,,,,,,,,,,,,,,,,,,
t056,Return window technically ended 2 days ago. Any chance of a refund?,refund_request,refund_request,Customer wants a refund despite missing the return cutoff.,Pass,,,,,,,,,,,,,,,,,,,,
t057,Disputing this charge with my bank — but I'd rather just get a refund directly from you.,refund_request,refund_request,Customer prefers a direct refund over a chargeback dispute.,Pass,,,,,,,,,,,,,,,,,,,,
t058,Was about to dispute with my bank — would rather just get refunded by you instead.,refund_request,refund_request,Customer is requesting a refund instead of pursuing a chargeback.,Pass,,,,,,,,,,,,,,,,,,,,
t059,Don't want to do a chargeback — please just refund me directly.,refund_request,refund_request,Customer is asking for a direct refund.,Pass,,,,,,,,,,,,,,,,,,,,
t060,The coffee maker arrived with a cracked carafe. Really disappointed.,product_issue,product_issue,Customer reports an item arrived damaged — product_issue.,Pass,,,,,,,,,,,,,,,,,,,,
t061,Coffee maker showed up with the carafe cracked. Not happy.,product_issue,product_issue,Customer reports physical damage on arrival.,Pass,,,,,,,,,,,,,,,,,,,,
t062,The carafe on the coffee maker was already cracked when I opened the box.,product_issue,product_issue,Customer reports out-of-the-box damage.,Pass,,,,,,,,,,,,,,,,,,,,
t063,You sent me a size medium shirt but I ordered a large. Second time this has happened.,product_issue,product_issue,Customer received the wrong size — product_issue.,Pass,,,,,,,,,,,,,,,,,,,,
t064,"Wrong size again — got a medium, ordered a large. This is twice now.",product_issue,product_issue,Customer received a wrong-sized item.,Pass,,,,,,,,,,,,,,,,,,,,
t065,I ordered a large shirt and you sent a medium. Second time this has happened.,product_issue,product_issue,Customer received the wrong item — product_issue.,Pass,,,,,,,,,,,,,,,,,,,,
t066,Item itself works fine but the box was crushed and the instruction manual is missing.,product_issue,product_issue,Customer reports a damaged box and missing manual — product_issue.,Pass,,,,,,,,,,,,,,,,,,,,
t067,"Product works, but the box arrived crushed and there's no manual inside.",product_issue,product_issue,Customer reports packaging damage and a missing manual.,Pass,,,,,,,,,,,,,,,,,,,,
t068,Box was destroyed and the manual is missing. The actual product is fine though.,product_issue,product_issue,Customer flags incomplete delivery — product_issue.,Pass,,,,,,,,,,,,,,,,,,,,
t069,It's defective — third one in a row from your store.,product_issue,product_issue,Customer reports a defective item — third defect from the same store.,Pass,,,,,,,,,,,,,,,,,,,,
t070,Third defective unit from you — this one doesn't work either.,product_issue,product_issue,Customer reports repeated product defects.,Pass,,,,,,,,,,,,,,,,,,,,
t071,Yet another defective product. Three for three from your store.,product_issue,product_issue,Customer is reporting recurring defects.,Pass,,,,,,,,,,,,,,,,,,,,
t072,"My laptop arrived damaged and I want a full refund, not a replacement.",refund_request,refund_request,Customer is explicitly requesting a full refund — refund_request.,Pass,,,,,,,,,,,,,,,,,,,,
t073,"Laptop showed up damaged. I want my money back, not a replacement.",refund_request,refund_request,Customer is asking for a refund instead of a replacement.,Pass,,,,,,,,,,,,,,,,,,,,
t074,"Damaged laptop on arrival — please refund me in full, no replacement.",refund_request,refund_request,Customer is requesting a refund for a damaged item.,Pass,,,,,,,,,,,,,,,,,,,,
t075,Sent the wrong color — I want my money back.,refund_request,refund_request,Customer is asking for their money back — refund_request.,Pass,,,,,,,,,,,,,,,,,,,,
t076,Wrong color shipped. Refund please.,refund_request,refund_request,Customer wants a refund for the wrong-color item.,Pass,,,,,,,,,,,,,,,,,,,,
t077,You sent the wrong color. Just refund me.,refund_request,refund_request,Customer wants a refund for the mistake.,Pass,,,,,,,,,,,,,,,,,,,,
t078,The product description said 'wireless' but I had to buy a separate dongle to use it. Misleading.,product_issue,product_issue,Customer says the product was not as described — product_issue.,Pass,,,,,,,,,,,,,,,,,,,,
t079,Description claimed wireless. I had to buy a dongle separately. Felt misled.,product_issue,other,Customer is complaining about a misleading description — general feedback.,Fail,"wrong category. MOdel could not correlate, focus should be on incorrect product information ",,,,,,,,,,,,,,,,,,,
t080,"Item is technically wireless but only with a separate dongle, which the listing didn't mention.",product_issue,product_issue,Customer reports a 'not as described' issue.,Pass,,,,,,,,,,,,,,,,,,,,
t081,This pillow is way smaller than what the photos suggested. False advertising.,product_issue,product_issue,Customer reports the item doesn't match the photos — product_issue.,Pass,,,,,,,,,,,,,,,,,,,,
